feature_id,product_id,feature_name,feature_description,feature_tier,feature_value_weight
F00001,P0001,Playbook Orchestration (Cortex XSOAR),Core capability providing playbook orchestration within Cortex XSOAR — Premium.,Core,3
F00002,P0001,Alert Triage (Cortex XSOAR),Differentiator capability providing alert triage within Cortex XSOAR — Premium.,Differentiator,2
F00003,P0001,Sandboxing (Cortex XSOAR),Differentiator capability providing sandboxing within Cortex XSOAR — Premium.,Differentiator,2
F00004,P0002,Incident Timeline (Enterprise DLP),Core capability providing incident timeline within Enterprise DLP — Premium.,Core,3
F00005,P0002,Threat Hunting (Enterprise DLP),Differentiator capability providing threat hunting within Enterprise DLP — Premium.,Differentiator,2
F00006,P0002,Playbook Orchestration (Enterprise DLP),Adjacent capability providing playbook orchestration within Enterprise DLP — Premium.,Adjacent,1
F00007,P0002,Rule Optimisation (Enterprise DLP),Differentiator capability providing rule optimisation within Enterprise DLP — Premium.,Differentiator,2
F00008,P0002,Risk Scoring (Enterprise DLP),Core capability providing risk scoring within Enterprise DLP — Premium.,Core,3
F00009,P0003,Automation (Enterprise DLP),Core capability providing automation within Enterprise DLP — Premium.,Core,3
F00010,P0003,Rule Optimisation (Enterprise DLP),Core capability providing rule optimisation within Enterprise DLP — Premium.,Core,3
F00011,P0003,Reporting (Enterprise DLP),Differentiator capability providing reporting within Enterprise DLP — Premium.,Differentiator,2
F00012,P0003,Traffic Inspection (Enterprise DLP),Differentiator capability providing traffic inspection within Enterprise DLP — Premium.,Differentiator,2
F00013,P0004,Reporting (Enterprise DLP),Core capability providing reporting within Enterprise DLP — Premium.,Core,3
F00014,P0004,Log Retention (Enterprise DLP),Differentiator capability providing log retention within Enterprise DLP — Premium.,Differentiator,2
F00015,P0004,Compliance Mapping (Enterprise DLP),Differentiator capability providing compliance mapping within Enterprise DLP — Premium.,Differentiator,2
F00016,P0005,Reporting (Advanced DNS Security),Core capability providing reporting within Advanced DNS Security — Premium.,Core,3
F00017,P0005,Data Classification (Advanced DNS Security),Adjacent capability providing data classification within Advanced DNS Security — Premium.,Adjacent,1
F00018,P0005,Data Classification (Advanced DNS Security),Differentiator capability providing data classification within Advanced DNS Security — Premium.,Differentiator,2
F00019,P0005,Playbook Orchestration (Advanced DNS Security),Differentiator capability providing playbook orchestration within Advanced DNS Security — Premium.,Differentiator,2
F00020,P0005,Incident Timeline (Advanced DNS Security),Differentiator capability providing incident timeline within Advanced DNS Security — Premium.,Differentiator,2
F00021,P0006,Anomaly Scoring (Prisma SD-WAN),Core capability providing anomaly scoring within Prisma SD-WAN — Premium.,Core,3
F00022,P0006,Incident Timeline (Prisma SD-WAN),Adjacent capability providing incident timeline within Prisma SD-WAN — Premium.,Adjacent,1
F00023,P0006,Rule Optimisation (Prisma SD-WAN),Adjacent capability providing rule optimisation within Prisma SD-WAN — Premium.,Adjacent,1
F00024,P0007,Alert Triage (Cortex XDR),Core capability providing alert triage within Cortex XDR — Premium.,Core,3
F00025,P0007,Anomaly Scoring (Cortex XDR),Adjacent capability providing anomaly scoring within Cortex XDR — Premium.,Adjacent,1
