product_id,product_name,product_platform,sku_tier,consumption_model,list_price_per_unit
P0001,Cortex XSOAR — Premium,Cortex,Premium,credits,156.75
P0002,Enterprise DLP — Premium,Prisma SASE,Premium,licensed_units,71.57
P0003,Enterprise DLP — Premium,Prisma SASE,Premium,licensed_units,93.44
P0004,Enterprise DLP — Premium,Prisma SASE,Premium,credits,154.21
P0005,Advanced DNS Security — Premium,Network Security (Strata),Premium,licensed_units,229.61
P0006,Prisma SD-WAN — Premium,Prisma SASE,Premium,licensed_units,433.75
P0007,Cortex XDR — Premium,Cortex,Premium,credits,51.68
P0008,Autonomous DEM — Premium,Prisma SASE,Premium,licensed_units,395.02
P0009,Exposure Management — Advanced,Cortex,Advanced,credits,117.13
P0010,NGFW — Essentials,Network Security (Strata),Essentials,licensed_units,234.36
P0011,Cortex XSIAM — Advanced,Cortex,Advanced,credits,205.96
P0012,Cortex XDR — Premium,Cortex,Premium,credits,337.89
P0013,Prisma SD-WAN — Essentials,Prisma SASE,Essentials,licensed_units,14.59
P0014,Cortex XSIAM — Advanced,Cortex,Advanced,credits,114.42
P0015,Exposure Management — Premium,Cortex,Premium,credits,229.41
P0016,Prisma Access — Advanced,Prisma SASE,Advanced,licensed_units,229.45
P0017,SaaS Security — Premium,Prisma SASE,Premium,licensed_units,365.46
P0018,Autonomous DEM — Premium,Prisma SASE,Premium,licensed_units,436.41
P0019,Prisma SD-WAN — Premium,Prisma SASE,Premium,credits,222.63
P0020,Exposure Management — Advanced,Cortex,Advanced,credits,370.4
P0021,Autonomous DEM — Essentials,Prisma SASE,Essentials,licensed_units,48.26
P0022,Advanced URL Filtering — Advanced,Network Security (Strata),Advanced,licensed_units,264.79
P0023,Advanced Threat Prevention — Advanced,Network Security (Strata),Advanced,licensed_units,342.6
P0024,Advanced WildFire — Advanced,Network Security (Strata),Advanced,licensed_units,206.58
P0025,Advanced WildFire — Advanced,Network Security (Strata),Advanced,credits,285.35
P0026,Attack Surface Management — Advanced,Cortex,Advanced,credits,235.23
P0027,AI Model Scanning — Advanced,Prisma AIRS,Advanced,credits,411.41
P0028,AI Posture Management — Premium,Prisma AIRS,Premium,credits,361.84
P0029,SaaS Security — Essentials,Prisma SASE,Essentials,licensed_units,139.73
P0030,Enterprise DLP — Advanced,Prisma SASE,Advanced,licensed_units,385.53
P0031,Cortex Cloud — Essentials,Cortex,Essentials,credits,470.98
P0032,Enterprise DLP — Premium,Prisma SASE,Premium,licensed_units,24.68
